texto,lat,lon,nombre
"1 Calle del Marqués de la Valdavia, Alcobendas, 28100",40.5487326,-3.662278,"1 Calle del Marqués de la Valdavia, Alcobendas, 28100"
"Hospital Infanta Sofía, San Sebastián de los Reyes, 28702",40.5598448,-3.6115488,"Hospital Infanta Sofía, San Sebastián de los Reyes, 28702"
"Vía Sin Nombre, San Sebastián de los Reyes, 28703",40.5473698,-3.6260586,"Vía Sin Nombre, San Sebastián de los Reyes, 28703"
"Alfonso XII 62, Calle de Alfonso XII, Madrid, España",40.4084585,-3.6890537,"Alfonso XII 62, Calle de Alfonso XII, Madrid, España"
"Calle de Alfonso XII, 62, Madrid, España",40.4084585,-3.6890537,"Calle de Alfonso XII, 62, Madrid, España"
"10 Blvr. de Salvador Allende, Alcobendas, 28108",40.5376687,-3.6344164,"10 Blvr. de Salvador Allende, Alcobendas, 28108"
"s/n C. Luis Pasteur, San Sebastián de los Reyes, 28703",37.6064797,-0.9738464,"s/n C. Luis Pasteur, San Sebastián de los Reyes, 28703"
"10 Calle de Anabel Segura, Alcobendas, 28108",40.534503,-3.6276173,"10 Calle de Anabel Segura, Alcobendas, 28108"
"5 Av. de Matapiñonera, San Sebastián de los Reyes, 28703",40.5850117,-3.65428,"5 Av. de Matapiñonera, San Sebastián de los Reyes, 28703"
"21 Avenida de Bruselas, Alcobendas, 28108",40.5301383,-3.6389688,"21 Avenida de Bruselas, Alcobendas, 28108"
"AEROPUERTO T4, 28042",40.4923948,-3.593248,"AEROPUERTO T4, 28042"
"s/n Av. del Camino de lo Cortao, San Sebastián de los Reyes, 28703",40.5473698,-3.6260586,"s/n Av. del Camino de lo Cortao, San Sebastián de los Reyes, 28703"
"22 Av. de la Vega, Alcobendas, 28108",40.534327,-3.6341993,"22 Av. de la Vega, Alcobendas, 28108"
"4 Avda. Fernando Alonso, Madrid, 28108",40.5343799,-3.6183798,"4 Avda. Fernando Alonso, Madrid, 28108"
"Carrefour Property España, Campus Omega, Campus Omega, Av. de la Transición Española, 36, Edificio E, 4ª Planta, 28108 Alcobendas, Madrid",43.274458,-5.7224423,"Carrefour Property España, Campus Omega, Campus Omega, Av. de la Transición Española, 36, Edificio E, 4ª Planta, 28108 Alcobendas, Madrid"
"2 Calle del Marqués de la Valdavia, Alcobendas, 28100",40.5402679,-3.6360995,"2 Calle del Marqués de la Valdavia, Alcobendas, 28100"
"Centro Comercial Plaza Norte 2, Pl. del Comercio, 11-12, 28703 San Sebastián de los Reyes, Madrid",40.4874106,-3.6995661,"Centro Comercial Plaza Norte 2, Pl. del Comercio, 11-12, 28703 San Sebastián de los Reyes, Madrid"
"26 Calle de la Hiedra, Chamartín, Madrid, 28036",40.4722906,-3.6789958,"26 Calle de la Hiedra, Chamartín, Madrid, 28036"
"Indra, Av. de Bruselas, 35, 28108 Alcobendas, Madrid",40.5291704,-3.641435,"Indra, Av. de Bruselas, 35, 28108 Alcobendas, Madrid"
"REICOMSA MECANICA (C/ ARAGONESES 18), ALCOBENDAS, 28108",40.5228747,-3.6616608,"REICOMSA MECANICA (C/ ARAGONESES 18), ALCOBENDAS, 28108"
"34 P.º de Europa, San Sebastián de los Reyes, 28702",40.5587534,-3.6125102,"34 P.º de Europa, San Sebastián de los Reyes, 28702"
"OUIGO ESPAÑA, Calle de Alfonso XII,  Madrid,  España",40.4129702,-3.6887606,"OUIGO ESPAÑA, Calle de Alfonso XII,  Madrid,  España"
"22 Avda de la Transición Española, Alcobendas, 28108",40.5345557,-3.6212702,"22 Avda de la Transición Española, Alcobendas, 28108"
"1 C. de Perdiguera, Alcobendas, 28108",40.5309347,-3.6593756,"1 C. de Perdiguera, Alcobendas, 28108"
"Paseo del Conde de los Gaitanes, Alcobendas, 28109",40.5143265,-3.6458876,"Paseo del Conde de los Gaitanes, Alcobendas, 28109"
"Ouigo Can Tunis, Carretera Antiga del Prat, L'Hospitalet de Llobregat, 08908",41.3598601,2.0997927,"Ouigo Can Tunis, Carretera Antiga del Prat, L'Hospitalet de Llobregat, 08908"
"PFIZER (Empresa) AVENIDA DE EUROPA  Nº20-B, Alcobendas, 28108",40.5141229,-3.6581441,"PFIZER (Empresa) AVENIDA DE EUROPA  Nº20-B, Alcobendas, 28108"
"23 Avenida de Bruselas, Alcobendas, 28108",40.5294996,-3.6422633,"23 Avenida de Bruselas, Alcobendas, 28108"
"- B&B (Hotel) CALLE DE LUIS PASTEUR S/N, San Sebastián de los Reyes, 28703",40.5473698,-3.6260586,"- B&B (Hotel) CALLE DE LUIS PASTEUR S/N, San Sebastián de los Reyes, 28703"
"NORT TAXI, C. del Marqués de la Valdavia, 1, 28100 Alcobendas, Madrid",40.4060562,-3.6958194,"NORT TAXI, C. del Marqués de la Valdavia, 1, 28100 Alcobendas, Madrid"
"Eurostars Madrid Congres, Av Transicion Española, Alcobendas, 28108",40.5400082,-3.6358494,"Eurostars Madrid Congres, Av Transicion Española, Alcobendas, 28108"
"Renault España Comercial, Av. de Europa, 1, Edificio A, 28108 Alcobendas, Madrid",40.4405963,-3.7250319,"Renault España Comercial, Av. de Europa, 1, Edificio A, 28108 Alcobendas, Madrid"
"Aeropuerto Barajas, Barajas, Madrid, 28042",40.4952269,-3.5733733,"Aeropuerto Barajas, Barajas, Madrid, 28042"
"OUIGO ESPAÑA, Calle de Alfonso XII, Madrid, España",40.4129702,-3.6887606,"OUIGO ESPAÑA, Calle de Alfonso XII, Madrid, España"
"22 A-1, Alcobendas, 28108",40.5400082,-3.6358494,"22 A-1, Alcobendas, 28108"
"Calle de María Moliner, San Sebastián de los Reyes, 28702",40.5473698,-3.6260586,"Calle de María Moliner, San Sebastián de los Reyes, 28702"
"Avenida de la Sierra, San Sebastián de los Reyes, 28701",40.5483072,-3.6331885,"Avenida de la Sierra, San Sebastián de los Reyes, 28701"
"Hotel Catalonia Roma, Avinguda de Roma, Barcelona, 08029",41.3819404,2.1459613,"Hotel Catalonia Roma, Avinguda de Roma, Barcelona, 08029"
"HOTEL AC. Av. Cerro de Aguila, 15-17, San Sebastián de los Reyes, 28703",40.5473698,-3.6260586,"HOTEL AC. Av. Cerro de Aguila, 15-17, San Sebastián de los Reyes, 28703"
"Madrid-Chamartín-Clara Campoamor, Calle de Agustín de Foxá, Madrid, España",40.4727184,-3.6824287,"Madrid-Chamartín-Clara Campoamor, Calle de Agustín de Foxá, Madrid, España"
"2 Av. de Valdelaparra, Alcobendas, 28100",40.5357765,-3.6409814,"2 Av. de Valdelaparra, Alcobendas, 28100"
"Holiday Inn Express Madrid - Alcobendas, Esquina, Esquina, C. de la Metalurgia, 1-3, 28108 Alcobendas, Madrid",40.5312182,-3.6497794,"Holiday Inn Express Madrid - Alcobendas, Esquina, Esquina, C. de la Metalurgia, 1-3, 28108 Alcobendas, Madrid"
"Calle de Salvador de Madariaga, San Sebastián de los Reyes, 28702",40.5681316,-3.61092,"Calle de Salvador de Madariaga, San Sebastián de los Reyes, 28702"
"C. del Camino del Sur, 72, 28109 Alcobendas, Madrid",41.2989638,-4.9086655,"C. del Camino del Sur, 72, 28109 Alcobendas, Madrid"
"33 Av. de los Pirineos, San Sebastián de los Reyes, 28703",40.5570355,-3.6125386,"33 Av. de los Pirineos, San Sebastián de los Reyes, 28703"
"INFANTA SOFIA (Hospital) PASEO DE EUROPA Nº 34, San Sebastian de los Reyes, 28703",40.5473698,-3.6260586,"INFANTA SOFIA (Hospital) PASEO DE EUROPA Nº 34, San Sebastian de los Reyes, 28703"
"Be Casa San Sebastián de los Reyes, Av. de los Pirineos, 33, 28703 San Sebastián de los Reyes, Madrid",40.5561232,-3.6131471,"Be Casa San Sebastián de los Reyes, Av. de los Pirineos, 33, 28703 San Sebastián de los Reyes, Madrid"
"5- Hospital Infanta Sofía, S.S. De los Reyes, San Sebastián de los Reyes, 28702",40.5473698,-3.6260586,"5- Hospital Infanta Sofía, S.S. De los Reyes, San Sebastián de los Reyes, 28702"
"27 Calle de Agustín de Foxá, Chamartín, Madrid, 28036",40.4707986,-3.6852032,"27 Calle de Agustín de Foxá, Chamartín, Madrid, 28036"
"SAMSUNG (Empresa) AVENIDA DE BARAJAS Nº32 (Parque Omega - Edificio C) , Alcobendas, 28109",40.5400082,-3.6358494,"SAMSUNG (Empresa) AVENIDA DE BARAJAS Nº32 (Parque Omega - Edificio C) , Alcobendas, 28109"
"9 Calle Real, San Sebastián de los Reyes, 28703",40.5503097,-3.6222515,"9 Calle Real, San Sebastián de los Reyes, 28703"
"Carrefour España, Parque Empresarial Omega, Parque Empresarial Omega, Av. de la Transición Española, 36, 28108 Alcobendas, Madrid",40.4622941,-3.6874207,"Carrefour España, Parque Empresarial Omega, Parque Empresarial Omega, Av. de la Transición Española, 36, 28108 Alcobendas, Madrid"
"Calido Alcobendas, Av. de la Industria, 7, 28108 Alcobendas, Madrid",37.3884813,-5.9539798,"Calido Alcobendas, Av. de la Industria, 7, 28108 Alcobendas, Madrid"
"15c Calle del Marqués de la Valdavia, Alcobendas, 28100",40.5487326,-3.662278,"15c Calle del Marqués de la Valdavia, Alcobendas, 28100"
"Pfizer, Av. de Europa, 20, B, 28108 Alcobendas, Madrid",40.5152497,-3.6574853,"Pfizer, Av. de Europa, 20, B, 28108 Alcobendas, Madrid"
"Avenida de España, Alcobendas, 28100",40.5441981,-3.6437163,"Avenida de España, Alcobendas, 28100"
"ALCAMPO (Comercio) AVENIDA OLIMPICA Nº 9, Alcobendas, 28108",40.5400082,-3.6358494,"ALCAMPO (Comercio) AVENIDA OLIMPICA Nº 9, Alcobendas, 28108"
"55 Avenida de la Sierra, San Sebastián de los Reyes, 28701",40.5483072,-3.6331885,"55 Avenida de la Sierra, San Sebastián de los Reyes, 28701"
"CAMPUS TRIBECA (Centro Emprearial) AVENIDA DE FUENCARRAL Nº 44, Alcobendas, 28108",40.5400082,-3.6358494,"CAMPUS TRIBECA (Centro Emprearial) AVENIDA DE FUENCARRAL Nº 44, Alcobendas, 28108"
"2 Pl. de Cdad. Real, San Sebastián de los Reyes, 28702",40.5473698,-3.6260586,"2 Pl. de Cdad. Real, San Sebastián de los Reyes, 28702"
"-- HOLIDAY INN SSR (Hotel) AVENIDA PIRINEOS Nº100, San Sebastián de los Reyes, 28700",40.5566849,-3.6117764,"-- HOLIDAY INN SSR (Hotel) AVENIDA PIRINEOS Nº100, San Sebastián de los Reyes, 28700"
"5 Calle Valportillo Segunda, Alcobendas, 28108",40.5332151,-3.6557271,"5 Calle Valportillo Segunda, Alcobendas, 28108"
"Túnel de Atocha, Centro, Madrid, 28012",40.4083256,-3.6928458,"Túnel de Atocha, Centro, Madrid, 28012"
"12 Avenida de Europa, Alcobendas, 28108",40.5183479,-3.6563298,"12 Avenida de Europa, Alcobendas, 28108"
"s/n Garaje casa, Calle de Pablo Picasso, Alcobendas, 28100",40.5400082,-3.6358494,"s/n Garaje casa, Calle de Pablo Picasso, Alcobendas, 28100"
"Restaurante Áurea, Pl. de la Moraleja, 2, 28109 Alcobendas, Madrid",41.403166,2.1509895,"Restaurante Áurea, Pl. de la Moraleja, 2, 28109 Alcobendas, Madrid"
"REICOMSA CHAPA (C/ ARAGONESES 18), ALCOBENDAS, 28108",40.5228747,-3.6616608,"REICOMSA CHAPA (C/ ARAGONESES 18), ALCOBENDAS, 28108"
"Estación de Chamartín, Madrid, España",40.4718159,-3.6829397,"Estación de Chamartín, Madrid, España"
"P.º de los Parques, 6, 28109 Alcobendas, Madrid",40.5099885,-3.6371978,"P.º de los Parques, 6, 28109 Alcobendas, Madrid"
"CENTRO COMERCIAL BULEVAR (Comercio) PASEO DE ALCOBENDAS Nº 10, Alcobendas, 28109",40.5400082,-3.6358494,"CENTRO COMERCIAL BULEVAR (Comercio) PASEO DE ALCOBENDAS Nº 10, Alcobendas, 28109"
"P.º de los Parques, 7, 28109 Alcobendas, Madrid, Spain",40.5092104,-3.6391233,"P.º de los Parques, 7, 28109 Alcobendas, Madrid, Spain"
"Hotel Praderón, C. Isla de la Palma, 8, 28703 San Sebastián de los Reyes, Madrid",40.5585088,-3.6230636,"Hotel Praderón, C. Isla de la Palma, 8, 28703 San Sebastián de los Reyes, Madrid"
"Calle del Marqués de la Valdavia, Alcobendas, 28100",40.5487326,-3.662278,"Calle del Marqués de la Valdavia, Alcobendas, 28100"
"ATEINSA mantenimiento ferroviario, Madrid, España",40.416782,-3.703507,"ATEINSA mantenimiento ferroviario, Madrid, España"
"Bureau Veritas, C. Valportillo Primera, 22, 24, 28108 Alcobendas, Madrid",41.3967722,2.1530356,"Bureau Veritas, C. Valportillo Primera, 22, 24, 28108 Alcobendas, Madrid"
"P.º de la Marquesa Viuda de Aldama, 52, 28109 Alcobendas, Madrid",40.416782,-3.703507,"P.º de la Marquesa Viuda de Aldama, 52, 28109 Alcobendas, Madrid"
"Taller Alta Velocidad - Fuencarral, Calle Antonio de Cabezón, Madrid, España",40.416782,-3.703507,"Taller Alta Velocidad - Fuencarral, Calle Antonio de Cabezón, Madrid, España"
"ESTACION DE CHAMARTIN (Renfe), Madrid, 28036",40.4719338,-3.6828369,"ESTACION DE CHAMARTIN (Renfe), Madrid, 28036"
"CENTRO COMERCIAL PLAZA NORTE (Comercio) PLAZA DEL COMERCIO , San Sebastian de los Reyes, 28703",40.5409942,-3.6138546,"CENTRO COMERCIAL PLAZA NORTE (Comercio) PLAZA DEL COMERCIO , San Sebastian de los Reyes, 28703"
"Schneider Electric, Av. de Tenerife, 4, 28703 San Sebastián de los Reyes, Madrid",40.20714,-3.832026,"Schneider Electric, Av. de Tenerife, 4, 28703 San Sebastián de los Reyes, Madrid"
"Av. de Bruselas, Alcobendas, Madrid",40.5309988,-3.6337294,"Av. de Bruselas, Alcobendas, Madrid"
"Alfonso XII 62, C. de Alfonso XII, 62, Retiro, 28014 Madrid",40.4084585,-3.6890537,"Alfonso XII 62, C. de Alfonso XII, 62, Retiro, 28014 Madrid"
"2 Calle de la Azalea, Alcobendas, 28109",40.5258325,-3.6348675,"2 Calle de la Azalea, Alcobendas, 28109"
"LEROY MERLIN (Empresa) AVENIDA DE LA VEGA N° 2, Alcobendas, 28108",40.5343202,-3.6327115,"LEROY MERLIN (Empresa) AVENIDA DE LA VEGA N° 2, Alcobendas, 28108"
"C. del Camino de Hoyarrasa, 64, 28109 Alcobendas, Madrid",40.416782,-3.703507,"C. del Camino de Hoyarrasa, 64, 28109 Alcobendas, Madrid"
"Vía Sin Nombre, Barajas, Madrid, 28042",40.416782,-3.703507,"Vía Sin Nombre, Barajas, Madrid, 28042"
"Infanta Sofia University Hospital, P.º de Europa, 34, 28702 San Sebastián de los Reyes, Madrid",37.1659537,-5.9339043,"Infanta Sofia University Hospital, P.º de Europa, 34, 28702 San Sebastián de los Reyes, Madrid"
"BINGO SANSE (Sala de juegos) CALLE REAL Nº 85, San Sebastián de los Reyes, 28701",40.5473698,-3.6260586,"BINGO SANSE (Sala de juegos) CALLE REAL Nº 85, San Sebastián de los Reyes, 28701"
"C. del Camino Ancho, 84, 28109 Alcobendas, Madrid",40.5241218,-3.6248915,"C. del Camino Ancho, 84, 28109 Alcobendas, Madrid"
"Centro de Salud Miraflores, Av. de España, 50, 28100 Alcobendas, Madrid",40.5476469,-3.6371825,"Centro de Salud Miraflores, Av. de España, 50, 28100 Alcobendas, Madrid"
"CORTE INGLES DE SANCHINARRO (Comercio)  CALLE MARGARITA DE PARMA Nº1, Madrid, 28050",40.416782,-3.703507,"CORTE INGLES DE SANCHINARRO (Comercio)  CALLE MARGARITA DE PARMA Nº1, Madrid, 28050"
"39 Calle Obispo Gelmírez, Fuencarral-El Pardo, Madrid, 28050",40.416782,-3.703507,"39 Calle Obispo Gelmírez, Fuencarral-El Pardo, Madrid, 28050"
"Pl. de la Moraleja, 28109 Alcobendas, Madrid",40.5157388,-3.6506488,"Pl. de la Moraleja, 28109 Alcobendas, Madrid"
"CARREFOUR ALCOBENDAS (Comercio) CARRETERA DE BURGOS (A-1) KM 14,500, Alcobendas, 28108",40.5400082,-3.6358494,"CARREFOUR ALCOBENDAS (Comercio) CARRETERA DE BURGOS (A-1) KM 14,500, Alcobendas, 28108"
"Bingo Madrid Alcobendas, C. del Marqués de la Valdavia, 55, 28100 Alcobendas, Madrid",40.5435998,-3.6414463,"Bingo Madrid Alcobendas, C. del Marqués de la Valdavia, 55, 28100 Alcobendas, Madrid"
"P.º de Alcobendas, 12, 28109 Alcobendas, Madrid",40.5270877,-3.6278026,"P.º de Alcobendas, 12, 28109 Alcobendas, Madrid"
"Citroën Amarauto, Av. de Valdelaparra, 37, 28108 Alcobendas, Madrid",40.5392865,-3.6495903,"Citroën Amarauto, Av. de Valdelaparra, 37, 28108 Alcobendas, Madrid"
"65 C. de la Dalia, 65, 28109 Alcobendas, Madrid",40.479273,-3.6659975,"65 C. de la Dalia, 65, 28109 Alcobendas, Madrid"
"Calle Valladolid, 11, San Sebastián de los Reyes, Spain",40.5519176,-3.6379758,"Calle Valladolid, 11, San Sebastián de los Reyes, Spain"
